epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,4294.75,0.84657,0.56451,1.19253,0.91347,0.9787,0.97458,0.8006,0.7205,0.45066,1.16783,0.000627048,0.000627048,0.000627048
112,4330.72,0.84075,0.55503,1.18592,0.88704,0.97926,0.97213,0.79505,0.72533,0.45348,1.17478,0.000622649,0.000622649,0.000622649
113,4366.55,0.83352,0.53846,1.18426,0.90811,0.97563,0.97506,0.80256,0.72122,0.4671,1.16669,0.000618249,0.000618249,0.000618249
114,4402.91,0.81943,0.52672,1.17404,0.88178,0.98271,0.97062,0.79481,0.73085,0.47792,1.17735,0.00061385,0.00061385,0.00061385
115,4438.65,0.83017,0.55064,1.19277,0.88334,0.98297,0.96888,0.79464,0.72246,0.45578,1.1691,0.00060945,0.00060945,0.00060945
116,4474.65,0.81977,0.54048,1.18756,0.89998,0.98032,0.97549,0.79764,0.7299,0.44479,1.17269,0.000605051,0.000605051,0.000605051
117,4510.78,0.81689,0.54943,1.1861,0.89915,0.96952,0.97348,0.80203,0.71363,0.44903,1.16252,0.000600651,0.000600651,0.000600651
118,4546.97,0.82782,0.53066,1.18877,0.90206,0.97839,0.97242,0.79885,0.72655,0.45638,1.17254,0.000596251,0.000596251,0.000596251
119,4583.33,0.82539,0.55167,1.18947,0.91919,0.97977,0.97458,0.80202,0.72468,0.44174,1.1689,0.000591852,0.000591852,0.000591852
120,4619.72,0.82072,0.53377,1.18007,0.9194,0.9696,0.97685,0.80186,0.71845,0.44226,1.16408,0.000587452,0.000587452,0.000587452
121,4655.59,0.83305,0.54928,1.19738,0.90518,0.98098,0.97666,0.80125,0.71834,0.45239,1.1697,0.000583053,0.000583053,0.000583053
122,4691.48,0.80663,0.52803,1.17851,0.91977,0.97294,0.97238,0.7975,0.7273,0.44406,1.17236,0.000578653,0.000578653,0.000578653
123,4727.79,0.81662,0.52712,1.17983,0.90376,0.96855,0.97402,0.80256,0.71239,0.44629,1.15857,0.000574254,0.000574254,0.000574254
124,4763.94,0.80951,0.53287,1.1669,0.90968,0.97243,0.97503,0.80052,0.70993,0.4385,1.15597,0.000569854,0.000569854,0.000569854
125,4800.05,0.82497,0.53393,1.18351,0.90114,0.98571,0.97441,0.80318,0.70989,0.43233,1.15552,0.000565455,0.000565455,0.000565455
126,4836.45,0.81917,0.54057,1.1674,0.90951,0.98169,0.97564,0.80375,0.70919,0.43697,1.15524,0.000561055,0.000561055,0.000561055
127,4872.49,0.81031,0.5257,1.16615,0.91146,0.97774,0.97256,0.80241,0.70812,0.43368,1.15255,0.000556655,0.000556655,0.000556655
128,4908.91,0.81488,0.53379,1.1851,0.91715,0.97411,0.97451,0.80699,0.70685,0.43051,1.15606,0.000552256,0.000552256,0.000552256
129,4944.88,0.81605,0.53435,1.17692,0.91061,0.97433,0.97286,0.80399,0.70924,0.43879,1.15965,0.000547856,0.000547856,0.000547856
130,4981.21,0.81459,0.5187,1.1799,0.91759,0.97975,0.97439,0.80357,0.70382,0.42809,1.15516,0.000543457,0.000543457,0.000543457
131,5017.8,0.80682,0.51501,1.1681,0.91573,0.97042,0.97509,0.80446,0.70619,0.42662,1.15505,0.000539057,0.000539057,0.000539057
132,5054.24,0.83191,0.53981,1.18494,0.91381,0.9801,0.97535,0.80328,0.70495,0.42118,1.15388,0.000534658,0.000534658,0.000534658
133,5090.92,0.80408,0.50649,1.16048,0.90795,0.96711,0.97668,0.80554,0.70818,0.42758,1.15148,0.000530258,0.000530258,0.000530258
134,5127.33,0.8024,0.52148,1.16256,0.91093,0.97098,0.97797,0.81267,0.69755,0.41359,1.14399,0.000525859,0.000525859,0.000525859
135,5163.35,0.8235,0.53043,1.18626,0.90834,0.9764,0.97592,0.80807,0.70285,0.42082,1.14994,0.000521459,0.000521459,0.000521459
136,5199.83,0.8108,0.5064,1.1791,0.92752,0.96894,0.97806,0.80919,0.70425,0.41823,1.15615,0.000517059,0.000517059,0.000517059
137,5236.03,0.80478,0.507,1.16896,0.91558,0.98238,0.97717,0.81058,0.69547,0.41072,1.14602,0.00051266,0.00051266,0.00051266
138,5272.36,0.80347,0.50333,1.16917,0.92154,0.97925,0.97931,0.81135,0.70237,0.40533,1.15167,0.00050826,0.00050826,0.00050826
139,5308.43,0.81084,0.51599,1.17541,0.91662,0.97923,0.97683,0.80958,0.70322,0.42016,1.15459,0.000503861,0.000503861,0.000503861
140,5344.56,0.80818,0.51443,1.17141,0.91338,0.98034,0.97686,0.80908,0.70033,0.4159,1.1526,0.000499461,0.000499461,0.000499461
141,5380.95,0.81231,0.50314,1.167,0.93187,0.96896,0.97737,0.80733,0.70377,0.41786,1.15328,0.000495062,0.000495062,0.000495062
142,5417.42,0.80137,0.51393,1.16055,0.91462,0.98369,0.97813,0.80795,0.70242,0.41648,1.14975,0.000490662,0.000490662,0.000490662
143,5453.53,0.80703,0.52454,1.17013,0.91879,0.98257,0.97773,0.80898,0.69917,0.4164,1.1488,0.000486262,0.000486262,0.000486262
144,5489.55,0.79995,0.52332,1.16047,0.92502,0.98454,0.97918,0.81208,0.69722,0.40372,1.14892,0.000481863,0.000481863,0.000481863
145,5525.63,0.79617,0.5136,1.16634,0.91522,0.9808,0.97892,0.80984,0.69863,0.40821,1.14866,0.000477463,0.000477463,0.000477463
146,5561.86,0.79507,0.49983,1.15983,0.94016,0.97736,0.98022,0.81053,0.69573,0.41534,1.14505,0.000473064,0.000473064,0.000473064
147,5597.61,0.79999,0.50283,1.1595,0.9166,0.98503,0.97859,0.8089,0.70067,0.40372,1.14941,0.000468664,0.000468664,0.000468664
148,5633.6,0.79623,0.51243,1.15921,0.91095,0.98705,0.97949,0.80976,0.69298,0.41291,1.14451,0.000464265,0.000464265,0.000464265
149,5669.9,0.79446,0.4943,1.16847,0.91572,0.98406,0.97805,0.81051,0.69455,0.4134,1.1447,0.000459865,0.000459865,0.000459865
150,5706.37,0.79914,0.51542,1.16521,0.93288,0.97727,0.97987,0.81103,0.69833,0.41051,1.14702,0.000455466,0.000455466,0.000455466
151,5742.78,0.78431,0.49933,1.15675,0.93372,0.97664,0.97982,0.81346,0.69249,0.39863,1.14533,0.000451066,0.000451066,0.000451066
152,5779.01,0.80255,0.49726,1.16642,0.9196,0.98574,0.97725,0.81303,0.69611,0.4035,1.14903,0.000446666,0.000446666,0.000446666
153,5814.84,0.79251,0.49364,1.16128,0.92535,0.98583,0.97874,0.81377,0.69413,0.39729,1.14615,0.000442267,0.000442267,0.000442267
154,5851.14,0.79211,0.48578,1.15505,0.91444,0.97455,0.9781,0.8152,0.69181,0.41072,1.14485,0.000437867,0.000437867,0.000437867
155,5887.34,0.79466,0.49058,1.15432,0.91087,0.98118,0.97903,0.8107,0.6957,0.41418,1.14473,0.000433468,0.000433468,0.000433468
156,5924.56,0.78537,0.49301,1.15771,0.929,0.97839,0.97894,0.81339,0.68942,0.40161,1.14254,0.000429068,0.000429068,0.000429068
157,5961.31,0.79371,0.49017,1.15596,0.92709,0.97743,0.97937,0.81469,0.6933,0.40061,1.14154,0.000424669,0.000424669,0.000424669
158,5997.39,0.79062,0.48223,1.15026,0.93122,0.98628,0.97978,0.81497,0.69115,0.40163,1.14172,0.000420269,0.000420269,0.000420269
159,6033.89,0.79129,0.48092,1.1608,0.9244,0.98114,0.97992,0.81537,0.68998,0.39466,1.14211,0.00041587,0.00041587,0.00041587
160,6070.23,0.79169,0.48926,1.1495,0.92471,0.9818,0.98034,0.81823,0.68819,0.39655,1.13998,0.00041147,0.00041147,0.00041147
161,6106.61,0.79467,0.4983,1.15538,0.92305,0.98315,0.9777,0.81478,0.69001,0.40077,1.14187,0.00040707,0.00040707,0.00040707
162,6143.51,0.7832,0.47936,1.14847,0.9249,0.97658,0.97904,0.81734,0.69074,0.39675,1.14212,0.000402671,0.000402671,0.000402671
163,6180.06,0.78601,0.47785,1.14969,0.91844,0.98345,0.98163,0.82034,0.68673,0.38948,1.13913,0.000398271,0.000398271,0.000398271
164,6216.26,0.7933,0.492,1.15515,0.92569,0.97963,0.9811,0.81829,0.68631,0.38704,1.13531,0.000393872,0.000393872,0.000393872
165,6252.86,0.78552,0.47961,1.14794,0.93887,0.98128,0.9808,0.81793,0.6874,0.39306,1.13748,0.000389472,0.000389472,0.000389472
166,6289.36,0.78851,0.49426,1.1553,0.92787,0.98881,0.98026,0.81713,0.6865,0.39012,1.13773,0.000385073,0.000385073,0.000385073
167,6325.94,0.78842,0.48903,1.15502,0.92537,0.98087,0.98074,0.81904,0.68886,0.3922,1.13846,0.000380673,0.000380673,0.000380673
168,6362.71,0.7919,0.47697,1.15667,0.92698,0.98961,0.98064,0.81766,0.68388,0.39098,1.13633,0.000376273,0.000376273,0.000376273
169,6399.45,0.77505,0.47348,1.14167,0.92354,0.99161,0.97904,0.8178,0.6855,0.39503,1.13577,0.000371874,0.000371874,0.000371874
170,6436.34,0.79175,0.4712,1.16052,0.92399,0.98575,0.98115,0.82002,0.68474,0.39192,1.13435,0.000367474,0.000367474,0.000367474
171,6472.48,0.78171,0.47331,1.15531,0.92853,0.9842,0.98194,0.82054,0.68585,0.38515,1.13679,0.000363075,0.000363075,0.000363075
172,6508.53,0.77327,0.46994,1.14261,0.92536,0.97987,0.97998,0.8177,0.68244,0.38901,1.13511,0.000358675,0.000358675,0.000358675
173,6544.92,0.78498,0.48194,1.15729,0.90966,0.98787,0.97862,0.81538,0.6806,0.39011,1.13372,0.000354276,0.000354276,0.000354276
174,6580.82,0.77823,0.48679,1.15033,0.9315,0.9727,0.98079,0.81815,0.68074,0.38132,1.13583,0.000349876,0.000349876,0.000349876
175,6617.05,0.78185,0.48266,1.15413,0.92884,0.98726,0.9845,0.82082,0.67849,0.3764,1.13261,0.000345477,0.000345477,0.000345477
176,6653.43,0.78705,0.48755,1.13986,0.94179,0.96986,0.98439,0.82341,0.68081,0.37996,1.13333,0.000341077,0.000341077,0.000341077
177,6689.45,0.77574,0.46699,1.15003,0.92515,0.98887,0.9837,0.82067,0.68021,0.38153,1.13396,0.000336677,0.000336677,0.000336677
